"baseDate","baseTime","fcstDate","fcstTime","TMP","UUU","VVV","VEC","WSD","SKY","PTY","POP","WAV","PCP","REH","SNO","TMX","TMN"
"20240628","0500","20240628","0600","22","-0.7","0.2","105","0.8","1","0","0","0","강수없음","75","적설없음",NA,NA
"20240628","0500","20240628","0700","24","-0.8","0.3","108","0.9","1","0","0","0","강수없음","65","적설없음",NA,NA
"20240628","0500","20240628","0800","25","-0.2","0.8","158","0.9","1","0","0","0","강수없음","60","적설없음",NA,NA
"20240628","0500","20240628","0900","27","1","0.3","252","1.1","1","0","0","0","강수없음","50","적설없음",NA,NA
"20240628","0500","20240628","1000","28","1.1","-0.2","278","1.1","1","0","0","0","강수없음","50","적설없음",NA,NA
"20240628","0500","20240628","1100","29","1.3","-0.4","286","1.3","1","0","0","0","강수없음","45","적설없음",NA,NA
"20240628","0500","20240628","1200","30","1.1","0.5","247","1.2","1","0","0","0","강수없음","40","적설없음",NA,NA
"20240628","0500","20240628","1300","31","1.5","0.6","248","1.6","1","0","0","0","강수없음","40","적설없음",NA,NA
"20240628","0500","20240628","1400","32","1.8","0.7","249","1.9","1","0","0","0","강수없음","40","적설없음",NA,NA
"20240628","0500","20240628","1500","32","2","0.8","248","2.2","1","0","0","0","강수없음","40","적설없음","33.0",NA
"20240628","0500","20240628","1600","32","2.3","0.7","254","2.4","1","0","0","0","강수없음","35","적설없음",NA,NA
"20240628","0500","20240628","1700","32","2.6","0.4","261","2.6","1","0","0","0","강수없음","40","적설없음",NA,NA
"20240628","0500","20240628","1800","31","3.1","0.2","266","3.1","1","0","0","0","강수없음","40","적설없음",NA,NA
"20240628","0500","20240628","1900","29","2.5","0.2","265","2.5","1","0","0","0","강수없음","40","적설없음",NA,NA
"20240628","0500","20240628","2000","28","1.4","0.4","253","1.5","1","0","0","0","강수없음","45","적설없음",NA,NA
"20240628","0500","20240628","2100","27","0.9","0.4","248","1","1","0","0","0","강수없음","55","적설없음",NA,NA
"20240628","0500","20240628","2200","26","0.8","0.4","243","0.9","1","0","0","0","강수없음","55","적설없음",NA,NA
"20240628","0500","20240628","2300","25","0.9","0.2","256","0.9","1","0","0","0","강수없음","60","적설없음",NA,NA
"20240628","0500","20240629","0000","25","0.9","0.3","254","0.9","1","0","0","0","강수없음","60","적설없음",NA,NA
"20240628","0500","20240629","0100","24","0.2","1.1","191","1.1","1","0","0","0","강수없음","65","적설없음",NA,NA
"20240628","0500","20240629","0200","23","-0.4","1.2","158","1.3","1","0","0","0","강수없음","65","적설없음",NA,NA
"20240628","0500","20240629","0300","23","-0.2","1.2","167","1.2","1","0","0","0","강수없음","70","적설없음",NA,NA
"20240628","0500","20240629","0400","22","0","1.1","173","1.1","1","0","0","0","강수없음","70","적설없음",NA,NA
"20240628","0500","20240629","0500","22","-0.4","1","153","1.1","1","0","0","0","강수없음","70","적설없음",NA,NA
"20240628","0500","20240629","0600","22","-0.5","0.6","131","0.9","3","0","20","0","강수없음","70","적설없음",NA,"22.0"
"20240628","0500","20240629","0700","23","-0.9","0.6","120","1.1","3","0","20","0","강수없음","65","적설없음",NA,NA
"20240628","0500","20240629","0800","24","-1.1","1.2","133","1.7","3","0","20","0","강수없음","65","적설없음",NA,NA
"20240628","0500","20240629","0900","26","-1.1","1.9","148","2.3","4","0","30","0","강수없음","60","적설없음",NA,NA
"20240628","0500","20240629","1000","27","-1.1","2.2","151","2.5","3","0","20","0","강수없음","60","적설없음",NA,NA
